"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Gabe Vincent","Lal","G","28.4","5","17.2","11.8","12.5","0","0","9","0.444","12","0.25","0.405","0.405","3.4","0.8","0.4","0.8","0","0.6","4.2","3.8","4.6","2.4","78.3","112.6"
"","Isaiah Stewart","Det","F-C","23.4","5","20.2","10.3","46.6","7","1","10","0.5","1","0","0.455","0.604","3.4","7.6","2.2","0.8","1","2","11","5.6","13.2","7.6","109.2","94.5"
"","Jett Howard","Orl","G","21.1","5","7.5","17","0","0","0","2","0.5","13","0.385","0.567","0.567","3.4","1.4","0.2","0","0.2","0","4.8","3.6","5","5.2","117","103.1"
"","Nicolas Batum","Lac","G-F","35.9","4","18.4","7.9","16.2","4","0.75","2","1","8","0.25","0.5","0.553","3.3","3","2.8","0.8","0.3","0.5","6.3","6","9","6.6","129.5","94.9"
"","Trey Lyles","Sac","F","29","4","16.2","12.1","5.7","2","1","3","0.333","13","0.231","0.344","0.385","3.3","3","0.8","1","1","0.3","6.3","4","7","4.9","87","99"
"","Kai Jones","Lac","C-F","23.8","4","9.5","11.4","0","5","0.6","8","0.625","0","0","0.625","0.637","3.3","3","0.5","0","0.8","0","6.3","3.8","6.8","7.2","149.7","96.7"
"","Jaden Hardy","Dal","G","22.3","4","10.6","16.6","24.3","2","1","3","0.333","9","0.333","0.458","0.505","3.3","0.8","0.8","0","0.3","1","4","4","4.8","4.8","89.4","109.1"
"","Keaton Wallace","Atl","G","25.7","3","6.7","10","0","2","1","2","0.5","2","1","1","1.025","3.3","0.7","0.7","0","0","0","4","4","4.7","7","207.4","126.8"
"","Keon Ellis","Sac","G","24.8","3","14.3","13","26.5","4","0.75","4","0.5","4","0.25","0.438","0.512","3.3","2.7","1","1.7","1.3","1","6","4.3","7","5.8","97.5","90.9"
"","Luke Kornet","Bos","C-F","29.3","5","16.1","8.8","13.9","6","1","12","0.417","0","0","0.417","0.546","3.2","4.2","1.6","0.4","0.6","0.4","7.4","4.8","9","6.9","147.2","106.9"
"","Tre Jones","San","G","24.8","1","15.6","10.3","0","4","0.75","2","0","0","0","0","0.399","3","1","3","1","0","0","4","6","7","5.3","129.7","118"
"","Naji Marshall","Dal","F","26.8","4","17","12.8","5.1","4","1","12","0.333","6","0","0.222","0.304","3","3","2.8","1","0","0.3","6","5.8","8.8","6.9","96.2","109"
"","Chris Duarte","Chi","G","27.4","2","3.1","13.2","0","0","0","0","0","2","1","1.5","1.5","3","0","0.5","0","0","0","3","3.5","3.5","0","0","0"
"","Caleb Houstan","Orl","G","21.8","2","5.1","12.6","0","0","0","0","0","3","0.667","1","1","3","0.5","0","0","0","0","3.5","3","3.5","0","174.6","95.2"
"","Collin Gillespie","Pho","G","25.4","1","3.5","25.8","0","0","0","1","0","1","1","0.75","0.75","3","0","0","0","0","0","3","3","3","0","0","0"
"","Nate Williams","Hou","G","25.7","1","2.2","18.5","0","0","0","0","0","1","1","1.5","1.5","3","2","0","0","0","0","5","3","5","0","0","0"
"","Ricky Council IV","Phi","G","23.2","3","6.6","18.6","13.4","4","1","3","0.333","3","0.333","0.417","0.58","3","0.7","0","0","0","0.3","3.7","3","3.7","0","113.7","114.7"
"","Doug McDermott","Sac","F","32.8","3","4","30.4","0","3","0.667","1","0","6","0.333","0.429","0.481","2.7","0","0","0","0","0","2.7","2.7","2.7","0","98.3","101.4"
"","Isaac Okoro","Cle","F-G","23.8","5","17","9.2","13.1","7","0.571","9","0.333","4","0.25","0.346","0.404","2.6","1.8","1.4","0.8","0.6","0.4","4.4","4","5.8","4.4","106.6","100.3"
"","Xavier Tillman","Bos","F","25.8","5","14.8","12.1","14.3","0","0","8","0.25","10","0.3","0.361","0.361","2.6","3.2","0.8","0.6","0","0.6","5.8","3.4","6.6","5.1","89.9","106.7"
"","Maxi Kleber","Dal","F","32.8","2","15.6","6.7","0","0","0","3","0.333","2","0.5","0.5","0.5","2.5","2.5","1.5","0","0.5","0","5","4","6.5","5.4","128.4","107.5"
"","Reed Sheppard","Hou","G","20.4","4","9.5","17.2","25","0","0","6","0.333","6","0.333","0.417","0.417","2.5","0.8","1.8","0.3","0.3","1","3.3","4.3","5","6.5","88.2","104.9"
"","Vasilije Micic","Cha","G","30.8","3","15","19.6","18.2","0","0","11","0.182","7","0.143","0.194","0.194","2.3","3.7","1","0.3","0","1.3","6","3.3","7","5.4","60.4","120.2"
"","Moussa Diabate","Cha","F","22.8","4","10.5","10.2","11","4","0.25","8","0.5","0","0","0.5","0.461","2.3","3.8","0.3","0.3","0.5","0.3","6","2.5","6.3","5.3","110","111.6"
"","James Johnson","Ind","F","37.7","1","3.8","22.5","50","0","0","1","1","0","0","1","1","2","0","1","0","1","1","2","3","3","0","0","0"
"","Tristan Thompson","Cle","C-F","33.6","3","6.4","18.5","33.3","5","0","4","0.75","0","0","0.75","0.484","2","1.7","0.3","0","0","0.7","3.7","2.3","4","6.3","68.5","104.3"
"","Damion Lee","Pho","G-F","32","1","17.7","10.2","25","0","0","1","1","2","0","0.333","0.333","2","3","2","0","0","1","5","4","7","5.2","74.1","109.1"
"","Drew Eubanks","Uta","F-C","27.7","2","5","11.5","0","2","0.5","1","0","1","1","0.75","0.694","2","1.5","1.5","0","0","0","3.5","3.5","5","13.2","171.5","122.8"
"","Cole Anthony","Orl","G","24.5","4","14","19","33","2","0.5","6","0.333","10","0.1","0.219","0.237","2","2.3","2.8","1","0.3","2","4.3","4.8","7","6.7","62.2","97.5"
"","Pat Spencer","Gol","G","28.3","2","2.1","30.1","0","0","0","3","0.667","0","0","0.667","0.667","2","0","0.5","0","0","0","2","2.5","2.5","0","0","0"
"","Jericho Sims","Nyk","C","26","4","13.1","5.2","16.7","0","0","5","0.8","0","0","0.8","0.8","2","3.8","0.3","0","0.5","0.3","5.8","2.3","6","4","157.4","113.7"
"","Mouhamed Gueye","Atl","F","22","1","3.1","26.4","0","0","0","1","1","1","0","0.5","0.5","2","0","0","0","0","0","2","2","2","0","0","0"
"","Quenton Jackson","Ind","G","26.1","1","4.4","18.3","0","2","1","0","0","1","0","0","0.532","2","1","2","1","0","0","3","4","5","14.4","160.5","92.5"
"","Baylor Scheierman","Bos","G","24.1","2","4.9","17","0","2","1","1","1","2","0","0.333","0.515","2","0.5","0","0","0","0","2.5","2","2.5","0","116.1","108.1"
"","Pelle Larsson","Mia","G","23.7","1","6.3","7.1","0","0","0","1","1","0","0","1","1","2","0","0","1","0","0","2","2","2","0","200","119"
"","Alex Reese","Okc","F-G","25.4","1","1.9","21.8","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","0","0"
"","Ulrich Chomche","Tor","C","18.8","1","4.5","9","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","200","125.4"
"","Enrique Freeman","Ind","F","24.3","2","8.1","7.7","41","2","1","1","1","0","0","1","1.064","2","0.5","0","0","0.5","0.5","2.5","2","2.5","0","140.7","115.1"
"","Trey Jemison","Nor","C","24.9","1","1.4","60.2","0","0","0","2","0.5","0","0","0.5","0.5","2","2","0","0","0","0","4","2","4","0","0","0"
"","Patty Mills","Uta","G","36.2","4","15.5","7.1","9.1","0","0","3","0.667","7","0.143","0.35","0.35","1.8","0.8","0.8","0.8","0.5","0.3","2.5","2.5","3.3","2.7","80.9","115.5"
"","Delon Wright","Mil","G","32.5","4","12.3","8.7","20","0","0","4","0.5","4","0.25","0.438","0.438","1.8","0.5","1","0.5","0.3","0.5","2.3","2.8","3.3","3.1","87","117.2"
"","MarJon Beauchamp","Mil","F","24.1","4","2.2","49.5","31.8","2","1","2","0.5","4","0.25","0.417","0.509","1.8","0","0","0.3","0","0.8","1.8","1.8","1.8","0","0","0"
"","Tyler Smith","Mil","F","20","4","2.6","21.1","0","0","0","2","1","3","0.333","0.7","0.7","1.8","0.8","0","0","0","0","2.5","1.8","2.5","0","0","0"
"","Jaylon Tyson","Cle","G-F","21.9","4","5.3","16.1","41.6","2","0.5","2","0","2","1","0.75","0.717","1.8","1","0.5","0","0","0.8","2.8","2.3","3.3","7.3","91","76.1"
"","Goga Bitadze","Orl","C-F","25.3","3","5.6","17.5","32.2","2","0.5","3","0.667","1","0","0.5","0.512","1.7","1.7","0.3","0","0.3","0.7","3.3","2","3.7","6.8","90.8","107.5"
"","Dalano Banton","Por","F","25","3","4.4","22.7","16.7","3","0","3","0.333","2","0.5","0.5","0.396","1.7","0.7","0.7","0","0","0.3","2.3","2.3","3","8.6","80.9","119.1"
